state/region,ages,year,population,state,area (sq. mi),pop_density (/sq. mi)
AL,total,2010,4785570.0,Alabama,52423.0,91.29
AK,total,2010,713868.0,Alaska,656425.0,1.09
AZ,total,2010,6408790.0,Arizona,114006.0,56.21
AR,total,2010,2922280.0,Arkansas,53182.0,54.95
CA,total,2010,37333601.0,California,163707.0,228.05
CO,total,2010,5048196.0,Colorado,104100.0,48.49
CT,total,2010,3579210.0,Connecticut,5544.0,645.6
DE,total,2010,899711.0,Delaware,1954.0,460.45
DC,total,2010,605125.0,District of Columbia,68.0,8898.9
FL,total,2010,18846054.0,Florida,65758.0,286.6
GA,total,2010,9713248.0,Georgia,59441.0,163.41
HI,total,2010,1363731.0,Hawaii,10932.0,124.75
ID,total,2010,1570718.0,Idaho,83574.0,18.79
IL,total,2010,12839695.0,Illinois,57918.0,221.69
IN,total,2010,6489965.0,Indiana,36420.0,178.2
IA,total,2010,3050314.0,Iowa,56276.0,54.2
KS,total,2010,2858910.0,Kansas,82282.0,34.75
KY,total,2010,4347698.0,Kentucky,40411.0,107.59
LA,total,2010,4545392.0,Louisiana,51843.0,87.68
ME,total,2010,1327366.0,Maine,35387.0,37.51
MD,total,2010,5787193.0,Maryland,12407.0,466.45
MA,total,2010,6563263.0,Massachusetts,10555.0,621.82
MI,total,2010,9876149.0,Michigan,96810.0,102.02
MN,total,2010,5310337.0,Minnesota,86943.0,61.08
MS,total,2010,2970047.0,Mississippi,48434.0,61.32
MO,total,2010,5996063.0,Missouri,69709.0,86.02
MT,total,2010,990527.0,Montana,147046.0,6.74
NE,total,2010,1829838.0,Nebraska,77358.0,23.65
NV,total,2010,2703230.0,Nevada,110567.0,24.45
NH,total,2010,1316614.0,New Hampshire,9351.0,140.8
NJ,total,2010,8802707.0,New Jersey,8722.0,1009.25
NM,total,2010,2064982.0,New Mexico,121593.0,16.98
NY,total,2010,19398228.0,New York,54475.0,356.09
NC,total,2010,9559533.0,North Carolina,53821.0,177.62
ND,total,2010,674344.0,North Dakota,70704.0,9.54
OH,total,2010,11545435.0,Ohio,44828.0,257.55
OK,total,2010,3759263.0,Oklahoma,69903.0,53.78
OR,total,2010,3837208.0,Oregon,98386.0,39.0
PA,total,2010,12710472.0,Pennsylvania,46058.0,275.97
RI,total,2010,1052669.0,Rhode Island,1545.0,681.34
SC,total,2010,4636361.0,South Carolina,32007.0,144.85
SD,total,2010,816211.0,South Dakota,77121.0,10.58
TN,total,2010,6356683.0,Tennessee,42146.0,150.83
TX,total,2010,25245178.0,Texas,268601.0,93.99
UT,total,2010,2774424.0,Utah,84904.0,32.68
VT,total,2010,625793.0,Vermont,9615.0,65.09
VA,total,2010,8024417.0,Virginia,42769.0,187.62
WA,total,2010,6742256.0,Washington,71303.0,94.56
WV,total,2010,1854146.0,West Virginia,24231.0,76.52
WI,total,2010,5689060.0,Wisconsin,65503.0,86.85
WY,total,2010,564222.0,Wyoming,97818.0,5.77
PR,total,2010,3721208.0,Puerto Rico,3515.0,1058.67
USA,total,2010,309326295.0,United States,3790399.0,81.61
